ObservableProperty,Procedure Identifier,Result Type,Unit specified with procedure,Collection 1,Notation,Part of soil/fraction
Concentration of Nitrogen ,http://anzsoil.org/def/au/scm/7D1a,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Nitrogen ,http://anzsoil.org/def/au/scm/7D1b,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Nitrogen ,http://anzsoil.org/def/au/scm/7D1c,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Nitrogen ,http://anzsoil.org/def/au/scm/7D2a,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Nitrogen ,http://anzsoil.org/def/au/scm/7D2b,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration ratio of  total organic Carbon to total soil Nitrogen,http://anzsoil.org/def/au/scm/8A1,number,0,Chemical,TOC:TSN,fine soil fraction (<2mm)
Concentration ratio of  total organic Carbon to total soil Nitrogen,http://anzsoil.org/def/au/scm/8B1,number,0,Chemical,TOC:TSN,fine soil fraction (<2mm)
Concentration of Phosphorus ,http://anzsoil.org/def/au/scm/9A1,number,PERCENT,Chemical,0,fine soil fraction (<2mm)
Concentration of Phosphorus ,http://anzsoil.org/def/au/scm/9A2,number,PERCENT,Chemical,0,fine soil fraction (<2mm)
Concentration of Phosphorus ,http://anzsoil.org/def/au/scm/9A3a,number,PERCENT,Chemical,0,fine soil fraction (<2mm)
Concentration of Phosphorus ,http://anzsoil.org/def/au/scm/9A3b,number,PERCENT,Chemical,0,fine soil fraction (<2mm)
Concentration of Phosphorus ,http://anzsoil.org/def/au/scm/9B1,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Phosphorus ,http://anzsoil.org/def/au/scm/9B2,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Phosphorus ,http://anzsoil.org/def/au/scm/9C1,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Phosphorus ,http://anzsoil.org/def/au/scm/9C2,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Phosphorus ,http://anzsoil.org/def/au/scm/9C2a,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Phosphorus ,http://anzsoil.org/def/au/scm/9C2b,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Phosphorus ,http://anzsoil.org/def/au/scm/9D1,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Phosphorus ,http://anzsoil.org/def/au/scm/9E1,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Phosphorus ,http://anzsoil.org/def/au/scm/9E2,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Phosphorus ,http://anzsoil.org/def/au/scm/9F1,number,MicroGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Phosphorus ,http://anzsoil.org/def/au/scm/9F2,number,MicroGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Phosphorus ,http://anzsoil.org/def/au/scm/9G1,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Phosphorus ,http://anzsoil.org/def/au/scm/9G2,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
  Anion storage capacity,http://anzsoil.org/def/au/scm/9H1,number,PERCENT,Chemical,0,fine soil fraction (<2mm)
Index of   Phosphate Sorption Index ,http://anzsoil.org/def/au/scm/9I1,number,UNITLESS,Chemical,0,fine soil fraction (<2mm)
Index of   P buffer index,http://anzsoil.org/def/au/scm/9I2a,number,UNITLESS,Chemical,PBI,fine soil fraction (<2mm)
Index of   P buffer index,http://anzsoil.org/def/au/scm/9I2b,number,UNITLESS,Chemical,0,fine soil fraction (<2mm)
Index of   P buffer index,http://anzsoil.org/def/au/scm/9I2c,number,UNITLESS,Chemical,0,fine soil fraction (<2mm)
Index of   P buffer index,http://anzsoil.org/def/au/scm/9I3a,number,UNITLESS,Chemical,0,fine soil fraction (<2mm)
